제목,내용
[김민정의 문화톡톡] 독창성은 어떻게 탄생하는가- 챗GPT와 다빈치 러닝 교육...," AI 추모서비스 '리메모리'는 세상을 떠난 사람의 영상과 음성 데이터를 수집한 다음, 딥러닝 학습 과정을... ""주인님, 소원이 뭔가요?"" '램프의 요정 지니' 챗GPT는 방대한 양의 데이터를 토대로 딥러닝을 진행한 다음... "
"뉴로클, 딥러닝 비전 SW로 비전 시스템 디자인 이노베이터스 어워즈 수상", 인공지능 딥러닝 분야 스타트업 뉴로클이 딥러닝 비전 소프트웨어(뉴로티)로 2021 비전 시스템 디자인(Vision System Design)에서 주관하는 2021 이노베이터스 어워즈(Innovators Award)에서 은상을 수상했다고 밝혔다. 비전... 
"송파구, ‘딥러닝 개발자’ 키운다!"," 송파구가 최근 기업의 채용수요가 높은 딥러닝 개발자 양성에 나선다. 딥러닝(Deep Learning)은 음성 인식, 이미지 식별, 예측 등 사람의 작업을 대신 수행하도록 컴퓨터를 학습시키는 기술이다. 특히 인공지능(AI)에... "
"송파구, '딥러닝 개발자 양성과정' 운영…교육비 전액 무료"," 서울 송파구(구청장 박성수)가 최근 기업의 채용수요가 높은 딥러닝 개발자 양성에 나선다. 딥러닝(Deep Learning)은 음성 인식, 이미지 식별, 예측 등 사람의 작업을 대신 수행하도록 컴퓨터를 학습시키는 기술이다.... "
"디앤디, 게인워드 RTX 4070 고스트 D6X 12GB 출시"," 게인워드만의 군더더기 없는 올-블랙으로 디자인된 게인워드 지포스 RTX 4070 고스트 D6X 12GB 그래픽카드는 2475Mhz 부스트클럭과 3D 그래픽, AI, 딥러닝 등 병렬 프로세싱이 필요한 모든 분야에서 최고의 성능을... "
"송파구, '딥러닝 개발자 양성과정' 운영…교육비 전액 무료"," 서울 송파구(구청장 박성수)가 최근 기업의 채용수요가 높은 딥러닝 개발자 양성에 나선다. 딥러닝(Deep Learning)은 음성 인식, 이미지 식별, 예측 등 사람의 작업을 대신 수행하도록 컴퓨터를 학습시키는 기술이다.... "
"디앤디, 게인워드 RTX 4070 고스트 D6X 12GB 출시"," 게인워드만의 군더더기 없는 올-블랙으로 디자인된 게인워드 지포스 RTX 4070 고스트 D6X 12GB 그래픽카드는 2475Mhz 부스트클럭과 3D 그래픽, AI, 딥러닝 등 병렬 프로세싱이 필요한 모든 분야에서 최고의 성능을... "
인재영입발표에서 인사말하는 최예림 딥러닝 인공지능 연구자, 1일 서울 여의도 더불어민주당사에서 열린 이재명 캠프 MZ 세대 청년 과학인재 4명 영입발표에서 최예림 딥러닝 인공지능 연구자가 인사말을 하고 있다. 2021.12.1 [국회사진기자단] 
"SKT, ‘AI 펠로우십’ 5기 모집… 현장 실무경험 지원", 또한 성균관대학교 인공지능학과 학생들로 구성된 팀은 딥러닝 기술로 이미지의 시대적 배경과 상황을 고려해 AI가 흑백 이미지에 자동으로 채색하는 기술 개발에 참여했다. SKT는 이 기술을 활용해 문체부가... 
"씨프로, AI 딥러닝 기능 추가한 4K IR 아웃도어 돔 카메라 출시", AI 딥러닝 분석에 필요한 DNN(Deep Neural Network) 처리가 가능한 CVflow 아키텍처를 제공하는 암바렐라(Ambarella) CV22을 채용해 AI 딥러닝 기반의 지능형 영상분석 엣지(Edge) 카메라를 출시했다. AI 딥러닝 필터는 분류... 
"농진청, 디지털육종 기술 수준 단계별 통일안 제안"," 디지털육종은 빅데이터와 딥러닝을 중심으로 한 인공지능(AI) 기술을 적극적으로 활용해 작물을 효율적으로 개발하는 차세대 육종기술로 많은 나라에서 연구, 활용하고 있다. 그러나 디지털육종을 구성하는 요소인 육종... "
인공신경망·딥러닝·머신러닝…얼마나 알고 계시나요?, 딥러닝은 머신러닝의 한 분야다. 인간의 뇌를 본뜬 인공신경망으로 정보를 처리하는 기법이다. 정리하자면 ‘AI ⊃ 머신러닝 ⊃ 딥러닝’인 셈이다. 전통적인 프로그래밍은 규칙과 데이터를 입력해 해답을 찾는... 
딥러닝 기술로 영상진단장비 똑똑해졌다, 신뢰성평가연구실 박종원 실장팀은 초음파 영상 진단 장비에 빅데이터 딥러닝 기술을 적용해 '머신러닝을... 있는 딥러닝 모델 개발은 새로운 시도다. 연구진은 머신러닝의 다양한 기법 중 오토엔코더와 유넷(U-net)모델을... 
[청년발언대] 딥러닝을 이용한 의료환경 구축의 필요성," 우리나라의 한 회사에서는 지금까지 코로나 환자들의 X-ray와 CT 이미지를 이용해 AI 기술을 딥러닝 시켜 이를 구분하고 중증 정도를 측정할 수 있도록 개발했다. 또한, 이뿐만 아니라 코로나19에 대해 조기진단을 할 수... "
RNA 딥러닝 분석으로 '점액성 종양' 원발 부위 찾는다, 분당서울대병원은 김기동 산부인과 교수팀이 전이된 점액성 종양의 원발 부위를 찾아내는 방법론을 고안해 냈다고 19일 밝혔다. 신체 곳곳에 자라나는 암은 시간이 지날수록 체내의 다른 기관으로 전이되고 사망 위험이... 
인재영입발표에서 인사말하는 최예림 딥러닝 인공지능 연구자, 1일 서울 여의도 더불어민주당사에서 열린 이재명 캠프 MZ 세대 청년 과학인재 4명 영입발표에서 최예림 딥러닝 인공지능 연구자가 인사말을 하고 있다. 2021.12.1 [국회사진기자단] 
"SKT, ‘AI 펠로우십’ 5기 모집… 현장 실무경험 지원", 또한 성균관대학교 인공지능학과 학생들로 구성된 팀은 딥러닝 기술로 이미지의 시대적 배경과 상황을 고려해 AI가 흑백 이미지에 자동으로 채색하는 기술 개발에 참여했다. SKT는 이 기술을 활용해 문체부가... 
"씨프로, AI 딥러닝 기능 추가한 4K IR 아웃도어 돔 카메라 출시", AI 딥러닝 분석에 필요한 DNN(Deep Neural Network) 처리가 가능한 CVflow 아키텍처를 제공하는 암바렐라(Ambarella) CV22을 채용해 AI 딥러닝 기반의 지능형 영상분석 엣지(Edge) 카메라를 출시했다. AI 딥러닝 필터는 분류... 
"농진청, 디지털육종 기술 수준 단계별 통일안 제안"," 디지털육종은 빅데이터와 딥러닝을 중심으로 한 인공지능(AI) 기술을 적극적으로 활용해 작물을 효율적으로 개발하는 차세대 육종기술로 많은 나라에서 연구, 활용하고 있다. 그러나 디지털육종을 구성하는 요소인 육종... "
인공신경망·딥러닝·머신러닝…얼마나 알고 계시나요?, 딥러닝은 머신러닝의 한 분야다. 인간의 뇌를 본뜬 인공신경망으로 정보를 처리하는 기법이다. 정리하자면 ‘AI ⊃ 머신러닝 ⊃ 딥러닝’인 셈이다. 전통적인 프로그래밍은 규칙과 데이터를 입력해 해답을 찾는... 
딥러닝 기술로 영상진단장비 똑똑해졌다, 신뢰성평가연구실 박종원 실장팀은 초음파 영상 진단 장비에 빅데이터 딥러닝 기술을 적용해 '머신러닝을... 있는 딥러닝 모델 개발은 새로운 시도다. 연구진은 머신러닝의 다양한 기법 중 오토엔코더와 유넷(U-net)모델을... 
[청년발언대] 딥러닝을 이용한 의료환경 구축의 필요성," 우리나라의 한 회사에서는 지금까지 코로나 환자들의 X-ray와 CT 이미지를 이용해 AI 기술을 딥러닝 시켜 이를 구분하고 중증 정도를 측정할 수 있도록 개발했다. 또한, 이뿐만 아니라 코로나19에 대해 조기진단을 할 수... "
RNA 딥러닝 분석으로 '점액성 종양' 원발 부위 찾는다, 분당서울대병원은 김기동 산부인과 교수팀이 전이된 점액성 종양의 원발 부위를 찾아내는 방법론을 고안해 냈다고 19일 밝혔다. 신체 곳곳에 자라나는 암은 시간이 지날수록 체내의 다른 기관으로 전이되고 사망 위험이... 
‘RNA 딥러닝 분석’…전이된 ‘점액성 종양’ 첫 발생 부위 찾는다," 분당서울대병원 김기동 교수팀, 점액성 종양 원발 부위 찾는 알고리즘 개발 “인공신경망에 각종 암 종류별로 달리 발현하는 RNA패턴 기계학습 시켜” “정확도 약 85.7% 수준의 모델 개발 성공…기존 방식보다 2배 더... "
터치로 편리해진 ‘LG 트롬 워시타워’ 신제품 출시, 인공지능 DD모터를 탑재한 워시타워는 딥러닝을 이용해 의류 재질을 인식한 후 LG전자만의 세탁·건조방법인 6모션 중 최적의 모션을 선택해 옷감 손상을 최소화한다. 워시타워의 ‘건조준비’ 기능은 세탁이... 
RNA 딥러닝 분석으로 '점액성 종양' 원발 부위 찾는다, 분당서울대병원은 김기동 산부인과 교수팀이 전이된 점액성 종양의 원발 부위를 찾아내는 방법론을 고안해 냈다고 19일 밝혔다. 신체 곳곳에 자라나는 암은 시간이 지날수록 체내의 다른 기관으로 전이되고 사망 위험이... 
‘RNA 딥러닝 분석’…전이된 ‘점액성 종양’ 첫 발생 부위 찾는다," 분당서울대병원 김기동 교수팀, 점액성 종양 원발 부위 찾는 알고리즘 개발 “인공신경망에 각종 암 종류별로 달리 발현하는 RNA패턴 기계학습 시켜” “정확도 약 85.7% 수준의 모델 개발 성공…기존 방식보다 2배 더... "
터치로 편리해진 ‘LG 트롬 워시타워’ 신제품 출시, 인공지능 DD모터를 탑재한 워시타워는 딥러닝을 이용해 의류 재질을 인식한 후 LG전자만의 세탁·건조방법인 6모션 중 최적의 모션을 선택해 옷감 손상을 최소화한다. 워시타워의 ‘건조준비’ 기능은 세탁이... 
경기도농기원 ‘과수화상병 간이 진단 프로그램’ 배포, 경기도농업기술원에서는 인공지능 딥러닝 학습법을 적용해 화상병 이미지 3만장 이상의 병징을 활용하여 윈도우용 ‘화상병 판단 프로그램’과 안드로이드 스마트폰 애플리케이션 ‘G화상병’을 개발했다. 과수화상병... 
"맥클로린, 글로벌 빅데이터·딥러닝 시장 공략 본격 시동", 빅데이터·딥러닝 솔루션 전문기업 맥클로린이 세계 무대을 향한 야심찬 첫 발을 내딛었다. 맥클로린은... 맥클로린은 한국인공지능협회 정회원이자 구글 공인 딥러닝 전문가 'Google TensorFlow Cerfificate' 자격을 보유하고... 
유명호 스누아이랩 대표 “하반기 '딥러닝 자동화 플랫폼' 상용화할 것”," 회사는 딥러닝 개발 과정을 자동화하는 '딥러닝 자동화 플랫폼(AI Auto Care Platform, 이하 오토케어)'을 개발했다. 오토케어에는 기존 시장의 비전 AI 검출기 대비 성능을 50% 향상한 자체 검출기가 탑재됐다. 영상 추출과... "
"코그넥스, ‘비전프로 딥러닝’ 활용 코로나19 감염 이미지 식별 연구 결과 발...", ［메디컬투데이 김동주 기자］ 산업용 머신비전 분야의 세계적 선도기업 코그넥스는 딥러닝 기반 이미지 분석 솔루션인 ’비전프로 딥러닝(VisionPro Deep Learning)’을 활용하여 엑스레이나 CT 스캔 이미지에서... 
"SKT, 미래 인재와 AI 기술 개발 나선다", 또한 성균관대학교 인공지능학과 학생들로 구성된 팀은 딥러닝 기술로 이미지의 시대적 배경과 상황을 고려해 AI가 흑백 이미지에 자동으로 채색하는 기술 개발에 참여했다. SK텔레콤은 이 기술을 활용해... 
코로나 19 감염 이미지 식별 99.4% 검사 정확도의 딥러닝 기술은?," 프로그래밍된 딥러닝 소프트웨어를 이용하여, 수천 개의 의료 이미지를 분석하고 이상 징후를 식별하여 의료진의 업무량을 줄일 수 있다. 그러나 기존에 가장 대중적으로 사용되고 있는 오픈소스 딥러닝... "
"머신비전시스템, '딥러닝 + 조명기술'로 불량 인식률 향상"," 머신비전시스템(Machine Vision System)을 구성하는 하드웨어와 소프트웨어가 인공지능(AI), 딥러닝, 조명기술... 기술과 딥러닝 알고리즘 처리 기술을 기반으로 프로그램화해 자동으로 결함 영상을 획득, 처리하도록 한다.... "
RNA 딥러닝 분석으로 전이된 ‘점액성 종양’ 원발 부위 찾는다, 분당서울대병원 산부인과 김기동 교수팀이 전이된 점액성 종양의 원발 부위를 찾아내는 방법론을 고안해 주목받고 있다. 신체 곳곳에 자라나는 암은 시간이 지날수록 체내의 다른 기관으로 전이되며 사망 위험이... 
경기도농기원 ‘과수화상병 간이 진단 프로그램’ 배포, 경기도농업기술원에서는 인공지능 딥러닝 학습법을 적용해 화상병 이미지 3만장 이상의 병징을 활용하여 윈도우용 ‘화상병 판단 프로그램’과 안드로이드 스마트폰 애플리케이션 ‘G화상병’을 개발했다. 과수화상병... 
"맥클로린, 글로벌 빅데이터·딥러닝 시장 공략 본격 시동", 빅데이터·딥러닝 솔루션 전문기업 맥클로린이 세계 무대을 향한 야심찬 첫 발을 내딛었다. 맥클로린은... 맥클로린은 한국인공지능협회 정회원이자 구글 공인 딥러닝 전문가 'Google TensorFlow Cerfificate' 자격을 보유하고... 
유명호 스누아이랩 대표 “하반기 '딥러닝 자동화 플랫폼' 상용화할 것”," 회사는 딥러닝 개발 과정을 자동화하는 '딥러닝 자동화 플랫폼(AI Auto Care Platform, 이하 오토케어)'을 개발했다. 오토케어에는 기존 시장의 비전 AI 검출기 대비 성능을 50% 향상한 자체 검출기가 탑재됐다. 영상 추출과... "
"코그넥스, ‘비전프로 딥러닝’ 활용 코로나19 감염 이미지 식별 연구 결과 발...", ［메디컬투데이 김동주 기자］ 산업용 머신비전 분야의 세계적 선도기업 코그넥스는 딥러닝 기반 이미지 분석 솔루션인 ’비전프로 딥러닝(VisionPro Deep Learning)’을 활용하여 엑스레이나 CT 스캔 이미지에서... 
